time,predicted_load,predicted_price
2018-12-15 00:00:00+00:00,26665.442571907322,64.42026926770383
2018-12-15 01:00:00+00:00,25171.577958313763,60.48016770426121
2018-12-15 02:00:00+00:00,24073.60551813441,58.41085269124699
2018-12-15 03:00:00+00:00,23742.192155587392,53.89030516336301
2018-12-15 04:00:00+00:00,24284.80849381446,54.35622519245988
2018-12-15 05:00:00+00:00,24964.82721714857,56.773640284123395
2018-12-15 06:00:00+00:00,25902.142859833464,59.42444727870305
2018-12-15 07:00:00+00:00,27856.804205511457,64.3248073298316
2018-12-15 08:00:00+00:00,29883.365840660834,67.34509137351084
2018-12-15 09:00:00+00:00,31272.227088814492,70.60954708250513
2018-12-15 10:00:00+00:00,32313.591851832596,70.1945374091428
2018-12-15 11:00:00+00:00,32073.513197718148,68.33235326937871
2018-12-15 12:00:00+00:00,31133.084335055653,66.59981265242462
2018-12-15 13:00:00+00:00,30723.065076967796,65.14922784799046
2018-12-15 14:00:00+00:00,30162.13523590084,62.73749479690406
2018-12-15 15:00:00+00:00,29170.602860082014,64.00695415104879
2018-12-15 16:00:00+00:00,29450.70374373561,68.06725503358413
2018-12-15 17:00:00+00:00,30671.32746316957,71.10286817582366
2018-12-15 18:00:00+00:00,32727.432105305066,74.97070400331522
2018-12-15 19:00:00+00:00,32678.667555109467,74.42141159973211
2018-12-15 20:00:00+00:00,31222.548080213153,66.58238662291602
2018-12-15 21:00:00+00:00,29599.392153187076,63.93375862043166
2018-12-15 22:00:00+00:00,27881.44675821049,63.63946781552917
2018-12-15 23:00:00+00:00,26290.378387224784,61.54641526952521
